Year,Country,Bronze,Gold,Silver,Total,Season
1936,FRA,18,12,13,43,Summer
1936,GBR,8,12,16,36,Summer
1936,GER,59,87,63,209,Summer
1936,HUN,15,25,1,41,Summer
1936,IND,,19,,19,Summer
1936,ITA,5,36,30,71,Summer
1936,JPN,8,9,4,21,Summer
1936,LAT,1,,1,2,Summer
1936,MEX,16,,,16,Summer
1936,NED,21,9,7,37,Summer
1936,NOR,15,1,12,28,Summer
1936,NZL,,1,,1,Summer
1936,PHI,1,,,1,Summer
1936,POL,4,,5,9,Summer
1936,POR,3,,,3,Summer
1936,ROU,,,1,1,Summer
1936,RSA,,,1,1,Summer
1936,SUI,24,1,22,47,Summer
1936,SWE,16,7,11,34,Summer
1936,TCH,,5,12,17,Summer
1936,TUR,1,1,,2,Summer
1936,USA,15,51,26,92,Summer
1936,YUG,,,1,1,Summer
1948,ARG,1,3,8,12,Summer
1948,AUS,5,2,9,16,Summer
1948,AUT,3,1,,4,Summer
1948,BEL,8,4,2,14,Summer
1948,BRA,12,,,12,Summer
1948,CAN,5,,1,6,Summer
1948,CUB,,,2,2,Summer
1948,DEN,27,7,15,49,Summer
1948,EGY,1,2,2,5,Summer
1948,ESP,,,3,3,Summer
1948,FIN,7,15,7,29,Summer
1948,FRA,21,25,22,68,Summer
1948,GBR,11,6,39,56,Summer
1948,HUN,21,15,24,60,Summer
1948,IND,,20,,20,Summer
1948,IRI,1,,,1,Summer
1948,ITA,12,20,31,63,Summer
1948,JAM,,1,2,3,Summer
1948,KOR,2,,,2,Summer
1948,MEX,4,4,1,9,Summer
1948,NED,32,8,2,42,Summer
1948,NOR,11,3,4,18,Summer
1948,PAN,2,,,2,Summer
1948,PER,,1,,1,Summer
1948,POL,1,,,1,Summer
1948,POR,3,,2,5,Summer
1948,PUR,1,,,1,Summer
1948,RSA,1,2,1,4,Summer
1948,SRI,,,1,1,Summer
1948,SUI,5,5,22,32,Summer
1948,SWE,29,29,15,73,Summer
1948,TCH,3,14,3,20,Summer
1948,TRI,,,1,1,Summer
1948,TUR,2,6,4,12,Summer
1948,URU,2,,1,3,Summer
1948,USA,35,83,30,148,Summer
1948,YUG,,,16,16,Summer
1952,ARG,2,2,2,6,Summer
1952,AUS,11,7,2,20,Summer
1952,AUT,2,,1,3,Summer
1952,BEL,,4,3,7,Summer
1952,BRA,2,1,,3,Summer
1952,BUL,1,,,1,Summer
1952,CAN,,1,3,4,Summer
1952,CHI,,,4,4,Summer
1952,DEN,5,3,1,9,Summer
1952,EGY,1,,,1,Summer
1952,ESP,,,1,1,Summer
1952,FIN,29,8,3,40,Summer
1952,FRA,16,14,9,39,Summer
1952,GBR,26,3,2,31,Summer
1952,GER,26,,14,40,Summer
1952,HUN,32,52,17,101,Summer
1952,IND,1,14,,15,Summer
1952,IRI,4,,3,7,Summer
1952,IRL,,,1,1,Summer
1952,ITA,15,17,21,53,Summer
1952,JAM,,5,3,8,Summer
1952,JPN,2,1,9,12,Summer
1952,KOR,2,,,2,Summer
1952,LIB,1,,1,2,Summer
1952,LUX,,1,,1,Summer
1952,MEX,,,1,1,Summer
1952,NED,,,18,18,Summer
1952,NOR,,5,8,13,Summer
1952,NZL,2,1,,3,Summer
1952,POL,1,1,2,4,Summer
1952,POR,2,,,2,Summer
1952,ROU,2,1,1,4,Summer
1952,RSA,4,2,8,14,Summer
1952,SUI,12,2,19,33,Summer
1952,SWE,23,23,24,70,Summer
1952,TCH,10,11,4,25,Summer
1952,TRI,2,,,2,Summer
1952,TUR,1,2,,3,Summer
1952,URS,19,36,62,117,Summer
1952,URU,14,,,14,Summer
1952,USA,28,79,23,130,Summer
1952,VEN,1,,,1,Summer
1952,YUG,,4,20,24,Summer
1956,ARG,1,,1,2,Summer
1956,AUS,26,23,12,61,Summer
1956,AUT,4,,,4,Summer
1956,BAH,2,,,2,Summer
1956,BEL,,,2,2,Summer
1956,BRA,,1,,1,Summer
1956,BUL,14,1,3,18,Summer
1956,CAN,5,5,9,19,Summer
1956,CHI,2,,2,4,Summer
1956,DEN,1,1,4,6,Summer
1956,EUA,22,10,22,54,Summer
1956,FIN,22,3,1,26,Summer
1956,FRA,13,6,13,32,Summer
1956,GBR,22,8,15,45,Summer
1956,GRE,1,,,1,Summer
1956,HUN,14,30,20,64,Summer
1956,IND,,17,,17,Summer
1956,IRI,1,2,2,5,Summer
1956,IRL,3,1,1,5,Summer
1956,ISL,,,1,1,Summer
1956,ITA,10,25,11,46,Summer
1956,JPN,5,4,15,24,Summer
1956,KOR,1,,1,2,Summer
1956,MEX,1,1,,2,Summer
1956,NOR,2,1,,3,Summer
1956,NZL,,3,,3,Summer
1956,PAK,,,14,14,Summer
1956,POL,9,1,9,19,Summer
1956,ROU,10,6,3,19,Summer
1956,RSA,7,,,7,Summer
1956,SUI,3,,,3,Summer
1956,SWE,6,14,14,34,Summer
1956,TCH,1,1,5,7,Summer
1956,TUR,2,3,2,7,Summer
1956,URS,55,68,46,169,Summer
1956,URU,12,,,12,Summer
1956,USA,20,61,37,118,Summer
1956,YUG,,,23,23,Summer
1960,MAR,,,1,1,Summer
1960,ARG,1,,3,4,Summer
1960,AUS,9,10,17,36,Summer
1960,AUT,,1,2,3,Summer
1960,BEL,2,,2,4,Summer
1960,BRA,13,,,13,Summer
1960,BUL,3,1,3,7,Summer
1960,BWI,5,,,5,Summer
1960,CAN,,,9,9,Summer
1960,DEN,4,2,17,23,Summer
1960,EGY,1,,1,2,Summer
1960,ESP,14,,,14,Summer
1960,ETH,,1,,1,Summer
1960,EUA,21,34,33,88,Summer
1960,FIN,4,1,1,6,Summer
1960,FRA,5,,6,11,Summer
1960,GBR,15,2,11,28,Summer
1960,GHA,,,1,1,Summer
1960,GRE,,3,,3,Summer
1960,HUN,36,13,16,65,Summer
1960,IND,,,13,13,Summer
1960,IRI,3,,1,4,Summer
1960,IRQ,1,,,1,Summer
1960,ITA,34,36,18,88,Summer
1960,JPN,10,9,10,29,Summer
1960,MEX,1,,,1,Summer
1960,NED,2,,1,3,Summer
1960,NOR,,2,,2,Summer
1960,NZL,1,2,,3,Summer
1960,PAK,1,13,,14,Summer
1960,POL,15,4,11,30,Summer
1960,POR,,,2,2,Summer
1960,ROU,11,3,1,15,Summer
1960,RSA,2,,1,3,Summer
1960,SIN,,,1,1,Summer
1960,SUI,6,,4,10,Summer
1960,SWE,3,2,2,7,Summer
1960,TCH,11,4,7,22,Summer
1960,TPE,,,1,1,Summer
1960,TUR,,7,2,9,Summer
1960,URS,45,61,63,169,Summer
1960,USA,21,68,23,112,Summer
1960,VEN,1,,,1,Summer
1960,YUG,,16,1,17,Summer
1964,ARG,,,1,1,Summer
1964,AUS,29,8,5,42,Summer
1964,BAH,,2,,2,Summer
1964,BEL,1,2,,3,Summer
1964,BRA,12,,,12,Summer
1964,BUL,2,3,5,10,Summer
1964,CAN,1,2,2,5,Summer
1964,CUB,,,1,1,Summer
1964,DEN,4,7,1,12,Summer
1964,ETH,,1,,1,Summer
1964,EUA,49,22,44,115,Summer
1964,FIN,2,3,,5,Summer
1964,FRA,17,1,13,31,Summer
1964,GBR,5,4,19,28,Summer
1964,GHA,1,,,1,Summer
1964,HUN,7,42,7,56,Summer
1964,IND,,15,,15,Summer
1964,IRI,2,,,2,Summer
1964,IRL,1,,,1,Summer
1964,ITA,9,13,28,50,Summer
1964,JPN,27,32,5,64,Summer
1964,KEN,1,,,1,Summer
1964,KOR,1,,2,3,Summer
1964,MEX,1,,,1,Summer
1964,NED,16,5,9,30,Summer
1964,NGR,1,,,1,Summer
1964,NZL,2,4,,6,Summer
1964,PAK,,,16,16,Summer
1964,PHI,,,1,1,Summer
1964,POL,25,10,13,48,Summer
1964,ROU,10,2,4,16,Summer
1964,SUI,1,1,4,6,Summer
1964,SWE,8,3,4,15,Summer
1964,TCH,12,5,38,55,Summer
1964,TRI,5,,1,6,Summer
1964,TUN,1,,1,2,Summer
1964,TUR,1,2,3,6,Summer
1964,URS,50,61,63,174,Summer
1964,URU,1,,,1,Summer
1964,USA,36,78,36,150,Summer
1964,YUG,2,2,11,15,Summer
1968,ARG,2,,,2,Summer
1968,AUS,10,5,34,49,Summer
1968,AUT,3,,2,5,Summer
1968,BEL,2,,1,3,Summer
1968,BRA,3,,1,4,Summer
1968,BUL,3,2,21,26,Summer
1968,CAN,4,3,3,10,Summer
1968,CMR,,,1,1,Summer
1968,CUB,,,10,10,Summer
1968,DEN,6,4,6,16,Summer
1968,ETH,,1,1,2,Summer
1968,FIN,1,1,2,4,Summer
1968,FRA,10,12,5,27,Summer
1968,FRG,18,16,15,49,Summer
1968,GBR,5,8,5,18,Summer
1968,GDR,19,13,19,51,Summer
1968,GRE,1,,,1,Summer
1968,HUN,29,32,20,81,Summer
1968,IND,15,,,15,Summer
1968,IRI,2,2,1,5,Summer
1968,ITA,19,5,8,32,Summer
1968,JAM,,,1,1,Summer
1968,JPN,22,16,29,67,Summer
1968,KEN,2,3,7,12,Summer
1968,KOR,1,,1,2,Summer
1968,MEX,3,3,3,9,Summer
1968,MGL,3,,1,4,Summer
1968,NED,1,6,7,14,Summer
1968,NOR,,4,2,6,Summer
1968,NZL,2,5,,7,Summer
1968,PAK,,13,,13,Summer
1968,POL,30,5,2,37,Summer
1968,ROU,9,5,9,23,Summer
1968,SUI,10,,3,13,Summer
1968,SWE,1,4,4,9,Summer
1968,TCH,15,7,7,29,Summer
1968,TPE,1,,,1,Summer
1968,TUN,1,1,,2,Summer
1968,TUR,,2,,2,Summer
1968,UGA,1,,1,2,Summer
1968,URS,60,66,62,188,Summer
1968,USA,35,83,31,149,Summer
1968,VEN,,1,,1,Summer
1968,YUG,2,13,14,29,Summer
1972,ARG,,,1,1,Summer
1972,AUS,2,11,7,20,Summer
1972,AUT,2,,1,3,Summer
1972,BEL,,,2,2,Summer
1972,BRA,2,,,2,Summer
1972,BUL,6,6,10,22,Summer
1972,CAN,8,,2,10,Summer
1972,COL,2,,1,3,Summer
1972,CUB,18,3,1,22,Summer
1972,DEN,,1,,1,Summer
1972,ESP,1,,,1,Summer
1972,ETH,2,,,2,Summer
1972,FIN,6,3,1,10,Summer
1972,FRA,15,2,5,22,Summer
1972,FRG,36,43,17,96,Summer
1972,GBR,12,8,9,29,Summer
1972,GDR,56,30,62,148,Summer
1972,GHA,1,,,1,Summer
1972,GRE,,,2,2,Summer
1972,HUN,25,10,46,81,Summer
1972,IND,14,,,14,Summer
1972,IRI,1,,2,3,Summer
1972,ITA,13,9,3,25,Summer
1972,JAM,1,,,1,Summer
1972,JPN,8,29,19,56,Summer
1972,KEN,4,5,3,12,Summer
1972,KOR,,,1,1,Summer
1972,LIB,,,1,1,Summer
1972,MEX,,,1,1,Summer
1972,MGL,,,1,1,Summer
1972,NED,2,3,1,6,Summer
1972,NGR,1,,,1,Summer
1972,NIG,1,,,1,Summer
1972,NOR,4,2,2,8,Summer
1972,NZL,1,9,4,14,Summer
1972,PAK,,,15,15,Summer
1972,POL,11,27,8,46,Summer
1972,PRK,13,1,1,15,Summer
1972,ROU,27,3,10,40,Summer
1972,SUI,,,8,8,Summer
1972,SWE,8,4,9,21,Summer
1972,TCH,6,2,21,29,Summer
1972,TUN,,,1,1,Summer
1972,TUR,,,1,1,Summer
1972,UGA,,1,1,2,Summer
1972,URS,58,107,46,211,Summer
1972,USA,43,53,59,155,Summer
1972,YUG,2,15,1,18,Summer
1976,AUS,8,,16,24,Summer
1976,AUT,1,,,1,Summer
1976,BEL,6,,3,9,Summer
1976,BER,1,,,1,Summer
1976,BRA,3,,,3,Summer
1976,BUL,18,8,13,39,Summer
1976,CAN,12,,8,20,Summer
1976,CUB,14,6,4,24,Summer
1976,DEN,5,3,,8,Summer
1976,ESP,,,6,6,Summer
1976,FIN,,4,2,6,Summer
1976,FRA,8,5,7,20,Summer
1976,FRG,30,21,24,75,Summer
1976,GBR,11,6,15,32,Summer
1976,GDR,42,99,51,192,Summer
1976,HUN,35,14,6,55,Summer
1976,IRI,1,,1,2,Summer
1976,ITA,4,2,25,31,Summer
1976,JAM,,1,1,2,Summer
1976,JPN,10,25,6,41,Summer
1976,KOR,15,1,1,17,Summer
1976,MEX,1,1,,2,Summer
1976,MGL,,,1,1,Summer
1976,NED,13,,2,15,Summer
1976,NOR,,2,4,6,Summer
1976,NZL,9,17,1,27,Summer
1976,PAK,16,,,16,Summer
1976,POL,26,18,29,73,Summer
1976,POR,,,2,2,Summer
1976,PRK,,1,1,2,Summer
1976,PUR,1,,,1,Summer
1976,ROU,23,4,28,55,Summer
1976,SUI,6,1,3,10,Summer
1976,SWE,,9,1,10,Summer
1976,TCH,9,2,4,15,Summer
1976,THA,1,,,1,Summer
1976,TRI,,1,,1,Summer
1976,URS,79,113,93,285,Summer
1976,USA,36,63,56,155,Summer
1976,VEN,,,1,1,Summer
1976,YUG,3,2,14,19,Summer
1980,AUS,5,5,2,12,Summer
1980,AUT,1,1,3,5,Summer
1980,BEL,,1,,1,Summer
1980,BRA,5,4,,9,Summer
1980,BUL,40,8,45,93,Summer
1980,CUB,5,8,7,20,Summer
1980,DEN,2,4,2,8,Summer
1980,ESP,3,2,19,24,Summer
1980,ETH,2,2,,4,Summer
1980,FIN,5,3,1,9,Summer
1980,FRA,6,18,5,29,Summer
1980,GBR,22,5,18,45,Summer
1980,GDR,61,112,87,260,Summer
1980,GRE,4,1,,5,Summer
1980,GUY,1,,,1,Summer
1980,HUN,40,8,13,61,Summer
1980,IND,,16,,16,Summer
1980,IRL,1,,2,3,Summer
1980,ITA,8,8,21,37,Summer
1980,JAM,3,,,3,Summer
1980,LIB,1,,,1,Summer
1980,MEX,10,,1,11,Summer
1980,MGL,2,,2,4,Summer
1980,NED,5,,1,6,Summer
1980,POL,22,3,25,50,Summer
1980,PRK,2,,3,5,Summer
1980,ROU,50,7,15,72,Summer
1980,SUI,,2,,2,Summer
1980,SWE,9,3,6,18,Summer
1980,TAN,,,2,2,Summer
1980,TCH,16,18,18,52,Summer
1980,UGA,,,1,1,Summer
1980,URS,122,190,124,436,Summer
1980,VEN,,,1,1,Summer
1980,YUG,17,13,27,57,Summer
1980,ZIM,,16,,16,Summer
1984,MAR,,2,,2,Summer
1984,ALG,2,,,2,Summer
1984,AUS,29,7,14,50,Summer
1984,AUT,1,1,1,3,Summer
1984,BEL,2,1,2,5,Summer
1984,BRA,2,1,34,37,Summer
1984,CAN,32,20,35,87,Summer
1984,CHN,37,26,13,76,Summer
1984,CIV,,,1,1,Summer
1984,CMR,1,,,1,Summer
1984,COL,,,1,1,Summer
1984,DEN,10,,3,13,Summer
1984,DOM,1,,,1,Summer
1984,EGY,,,1,1,Summer
1984,ESP,3,2,14,19,Summer
1984,FIN,6,4,2,12,Summer
1984,FRA,31,21,16,68,Summer
1984,FRG,52,30,74,156,Summer
1984,GBR,43,9,20,72,Summer
1984,GRE,1,,1,2,Summer
1984,IRL,,,1,1,Summer
1984,ISL,1,,,1,Summer
1984,ITA,28,29,6,63,Summer
1984,JAM,2,,4,6,Summer
1984,JPN,31,10,8,49,Summer
1984,KEN,2,1,,3,Summer
1984,KOR,7,6,29,42,Summer
1984,MEX,1,2,3,6,Summer
1984,NED,14,20,6,40,Summer
1984,NGR,4,,1,5,Summer
1984,NOR,3,,1,4,Summer
1984,NZL,6,16,1,23,Summer
1984,PAK,,16,,16,Summer
1984,PER,,,1,1,Summer
1984,POR,2,1,,3,Summer
1984,PUR,1,,1,2,Summer
1984,ROU,35,40,31,106,Summer
1984,SUI,4,,9,13,Summer
1984,SWE,11,3,18,32,Summer
1984,SYR,,,1,1,Summer
1984,THA,,,1,1,Summer
1984,TPE,1,,,1,Summer
1984,TUR,3,,,3,Summer
1984,USA,51,168,116,335,Summer
1984,VEN,3,,,3,Summer
1984,YUG,35,47,5,87,Summer
1984,ZAM,1,,,1,Summer
1988,MAR,2,1,,3,Summer
1988,AHO,,,1,1,Summer
1988,ARG,12,,1,13,Summer
1988,AUS,10,18,6,34,Summer
1988,AUT,,1,,1,Summer
1988,BEL,2,,,2,Summer
1988,BRA,5,1,22,28,Summer
1988,BUL,17,10,14,41,Summer
1988,CAN,12,4,5,21,Summer
1988,CHI,,,1,1,Summer
1988,CHN,31,6,16,53,Summer
1988,COL,1,,,1,Summer
1988,CRC,,,1,1,Summer
1988,DEN,3,3,1,7,Summer
1988,DJI,1,,,1,Summer
1988,ESP,2,1,2,5,Summer
1988,FIN,2,1,1,4,Summer
1988,FRA,13,12,4,29,Summer
1988,FRG,44,32,37,113,Summer
1988,GBR,15,22,16,53,Summer
1988,GDR,47,75,52,174,Summer
1988,GRE,1,,,1,Summer
1988,HUN,15,20,9,44,Summer
1988,INA,,,3,3,Summer
1988,IRI,,,1,1,Summer
1988,ISV,,,1,1,Summer
1988,ITA,8,11,10,29,Summer
1988,JAM,,,5,5,Summer
1988,JPN,13,4,3,20,Summer
1988,KEN,2,5,2,9,Summer
1988,KOR,12,28,37,77,Summer
1988,MEX,2,,,2,Summer
1988,MGL,1,,,1,Summer
1988,NED,36,3,5,44,Summer
1988,NOR,,2,21,23,Summer
1988,NZL,16,4,4,24,Summer
1988,PAK,1,,,1,Summer
1988,PER,,,12,12,Summer
1988,PHI,1,,,1,Summer
1988,POL,10,2,9,21,Summer
1988,POR,,1,,1,Summer
1988,ROU,13,8,30,51,Summer
1988,SEN,,,1,1,Summer
1988,SUI,2,,6,8,Summer
1988,SUR,,1,,1,Summer
1988,SWE,11,,5,16,Summer
1988,TCH,3,3,4,10,Summer
1988,THA,1,,,1,Summer
1988,TUR,,1,1,2,Summer
1988,URS,95,134,65,294,Summer
1988,USA,52,77,64,193,Summer
1988,YUG,21,15,27,63,Summer
1992,MAR,1,1,1,3,Summer
1992,ALG,1,1,,2,Summer
1992,ARG,2,,,2,Summer
1992,AUS,16,14,27,57,Summer
1992,AUT,,,6,6,Summer
1992,BAH,1,,,1,Summer
1992,BEL,2,,1,3,Summer
1992,BRA,,13,1,14,Summer
1992,BUL,7,3,7,17,Summer
1992,CAN,12,27,5,44,Summer
1992,CHN,19,18,46,83,Summer
1992,COL,1,,,1,Summer
1992,CRO,3,,12,15,Summer
1992,CUB,14,44,13,71,Summer
1992,DEN,9,3,2,14,Summer
1992,ESP,2,44,20,66,Summer
1992,EST,2,1,,3,Summer
1992,ETH,2,1,,3,Summer
1992,EUN,66,92,65,223,Summer
1992,FIN,2,1,4,7,Summer
1992,FRA,43,9,5,57,Summer
1992,GBR,39,8,3,50,Summer
1992,GER,60,81,57,198,Summer
1992,GHA,13,,,13,Summer
1992,GRE,,2,,2,Summer
1992,HUN,8,14,23,45,Summer
1992,INA,1,2,3,6,Summer
1992,IOP,2,,1,3,Summer
1992,IRI,2,,1,3,Summer
1992,IRL,,1,1,2,Summer
1992,ISR,1,,1,2,Summer
1992,ITA,14,22,10,46,Summer
1992,JAM,1,,3,4,Summer
1992,JPN,36,3,8,47,Summer
1992,KEN,2,2,4,8,Summer
1992,KOR,16,28,5,49,Summer
1992,LAT,1,,2,3,Summer
1992,LTU,12,1,,13,Summer
1992,MAS,2,,,2,Summer
1992,MEX,,,1,1,Summer
1992,MGL,2,,,2,Summer
1992,NAM,,,2,2,Summer
1992,NED,8,5,20,33,Summer
1992,NGR,4,,7,11,Summer
1992,NOR,1,2,20,23,Summer
1992,NZL,5,1,9,15,Summer
1992,PAK,16,,,16,Summer
1992,PER,,,1,1,Summer
1992,PHI,1,,,1,Summer
1992,POL,19,5,18,42,Summer
1992,PRK,6,4,,10,Summer
1992,PUR,1,,,1,Summer
1992,QAT,1,,,1,Summer
1992,ROU,14,8,31,53,Summer
1992,RSA,,,3,3,Summer
1992,SLO,6,,,6,Summer
1992,SUI,,1,,1,Summer
1992,SUR,1,,,1,Summer
1992,SWE,7,1,27,35,Summer
1992,TCH,1,4,3,8,Summer
1992,THA,1,,,1,Summer
1992,TPE,,,20,20,Summer
1992,TUR,2,2,2,6,Summer
1992,USA,85,89,50,224,Summer
1996,MAR,2,,,2,Summer
1996,ALG,1,2,,3,Summer
1996,ARG,1,,19,20,Summer
1996,ARM,,1,1,2,Summer
1996,AUS,84,32,16,132,Summer
1996,AUT,2,,1,3,Summer
1996,AZE,,,1,1,Summer
1996,BAH,,,5,5,Summer
1996,BDI,,1,,1,Summer
1996,BEL,2,2,2,6,Summer
1996,BLR,16,1,6,23,Summer
1996,BRA,44,5,15,64,Summer
1996,BUL,6,3,12,21,Summer
1996,CAN,12,8,31,51,Summer
1996,CHN,17,19,74,110,Summer
1996,CRC,,1,,1,Summer
1996,CRO,,16,13,29,Summer
1996,CUB,10,39,8,57,Summer
1996,CZE,4,4,5,13,Summer
1996,DEN,1,22,1,24,Summer
1996,ECU,,1,,1,Summer
1996,ESP,22,24,21,67,Summer
1996,ETH,1,2,,3,Summer
1996,FIN,1,1,2,4,Summer
1996,FRA,20,21,10,51,Summer
1996,GBR,9,2,15,26,Summer
1996,GEO,2,,,2,Summer
1996,GER,47,42,35,124,Summer
1996,GRE,,4,4,8,Summer
1996,HKG,,1,,1,Summer
1996,HUN,26,8,9,43,Summer
